Date,Symbol,Order,Shares
2008-01-02,AAPL,SELL,200
2008-02-07,AAPL,BUY,200
2008-02-26,AAPL,BUY,200
2008-05-15,AAPL,SELL,200
2008-06-05,AAPL,SELL,200
2009-03-09,AAPL,BUY,200
2008-10-09,AAPL,BUY,200
2008-10-13,AAPL,SELL,200
2008-11-04,AAPL,BUY,200
2008-11-21,AAPL,SELL,200
2009-01-20,AAPL,BUY,200
2009-12-31,AAPL,SELL,200
